#_,_
button.back,Geri
kin.jumpin.endofturn,[name] sıralarını tamamladıktan sonra bir harekete geçin mi?
kin.jumpin.endofturn.opponent,"Rakip, dönüş bitmeden hangi eylemin yapılacağına karar veriyor."
kin.jumpin.runaway,Kaçmak için [isim] rulo yapmadan önce bir işlem yapın?
kin.jumpin.postrunaway,Kaçmak için [isim] yuvarlandıktan sonra harekete geçin mi?
kin.jumpin.postcombat,[İsim] savaşı tamamladıktan sonra bir işlem yapın?
kin.jumpin.precurse,[Adı] lanetlenmeden önce bir işlem yapın?
kin.jumpin.abilities,Bir şey yap?
kin.playerturn.begin,Kapıyı açmadan önce harekete geçin mi?
kin.playerturn.begin.opponent,Bir rakip kapıyı açmadan önce eylemleri düşünüyor.
kin.playerturn.lookfortrouble,Savaşmak istediğin canavarı elinden çal.
kin.playerturn.draw,Kapıyı tekmele
kin.playerturn.lookorloot,Sorun arayın veya odayı yağmalayın
kin.playerturn.end,Sırasında bitirmeden önce harekete geçin mi?
kin.playerturn.end.opponent,Bir rakip sıralarını bitirmeden önce eylemleri düşünüyor.
kin.core.play.class,Sınıf Kartı Oyna
kin.core.play.curse,Lanet Kartı Oyna
kin.core.play.item,Item Kartı Oyna
kin.core.play.race,Irk Kartı Oyna
kin.core.play.special,Özel Kart Oyna
kin.core.play.monsterenhancer,Canavar geliştirici mi oynuyorsunuz?
kin.core.play.combatoneshot,Hangi tarafa güç verileceğini seçin.
kin.playerturn.charity.lastchance,Kartlarını dağıtmadan önce kullanmak istermisin?
kin.playerturn.charity.discard,Atmak için [X] kart (lar) ı seçin.
kin.playerturn.charity.give,Vermek için [X] kart (lar) ı seçin.
kin.playerturn.charity.giveplayer,Bağış yapmak için oyuncu seçin.
kin.draw.play,Seçtiğin kart (lar) mı oynamak ister misin?
match.actions.opendoor,Açık kapı
match.actions.jumpin,Katıl
kin.combat.begin,Savaş
kin.combat.begin.opponent,Rakip savaşta
match.actions.lootroom,Odayı yağmalayın
match.actions.lookfortrouble,Sorun arayın
kin.prompts.givelevelup,Bir Level ver?
kin.core.play.goupalevel,Bir Level vermek istediğiniz oyuncuyu seçin
kin.base.door.cleric.turning,Her biri +3 Güç için atılacak [X] kart seçin.
kin.base.door.cleric.resurrection.discard,Yeniden canlanmak için atılacak [X] kartları seçin.
kin.base.door.floatingnose.bribe,Floating Nose'a rüşvet vermek için en az 200 Altın Parça değerinde bir eşyayı atmak ister misiniz?
kin.base.door.halfling.runaway,Halfling ile yeniden açmak için atmak üzere bir kart seçin.
kin.base.door.helpmeout.discard,Çalmadan önce bir kartı feda edin.
kin.base.door.helpmeout.steal,Çalmak için bir item seçin.
kin.base.door.helpmeout.steal.opponent,Rakip bana yardım et kartı ile çalacak bir eşya seçiyor.
kin.base.door.illusion.remove,Savaştan atmak için bir canavar kartı seçin.
kin.base.door.illusion.add,Savaşa eklemek için bir canavar kartı seçin.
kin.base.door.lawyer.treasures,Yenileriyle değiştirmek için 2 Hazineyi aşağıya sürükleyin veya devam etmek için Geç'e basın.
kin.base.door.pitbull.distract,"Pitbull'un dikkatini dağıtmak için atmak üzere bir çubuk, direk veya asa seçin."
kin.base.door.platycore.choose,Kaderinize karar verin.
kin.base.door.platycore.button.discardhand,Elini at
kin.base.door.platycore.button.loselevels,2 Level Kaybet
kin.base.door.snailsonspeed.discard,Elinizdeki [num] kadar eşyaları veya kartları kaybedin - seçiminiz.
kin.base.door.stonedgolem.avoid,Dövüş ya da Stoned Golem'e El Salla ve yanından geç.
kin.base.door.thief.theft.discard,Hırsızlık için atılacak bir kart seçin.
kin.base.door.thief.theft.steal,Çalmak için küçük bir item seçin.
kin.base.door.thief.backstab.discard,Backstab için atmak için bir kart seçin.
kin.base.door.thief.backstab.player,Bir rakip seçin.
kin.base.door.tonguedemon.loseitem,Tongue Demon. nedeniyle atılacak bir item seçin.
kin.base.door.tonguedemon.loseitem.opponent,Oyuncunun dil iblisine bir kart atmasını bekleniyor.
kin.base.door.wanderingmonster.monster,Savaşa eklemek için bir canavar kartı seçin.
kin.base.door.warrior.berserking.discard,Ekstra +1 güç kazanmak için atılacak [X] kartlarını seçin.
kin.base.door.wizard.charm.monster,Cazibe için bir canavar seçin.
kin.base.door.wizard.flight.discard,Her birinden +1 bonus almak için atmak üzere en fazla 3 kart seçin.
kin.base.door.curse.losebigitem.discard,Atmak için büyük bir item seçin.
kin.base.door.curse.losebigitem.discard.opponent,Rakip atmak için büyük bir eşya seçiyor
kin.base.door.curse.loseclass.discard,Atmak için bir sınıf seçin.
kin.base.door.curse.loseclass.discard.opponent,Rakip atmak için bir sınıf seçiyor.
kin.base.door.curse.losesmallitem.discard,Atmak için küçük bir item seçin.
kin.base.door.curse.losesmallitem.discard.opponent,Rakip atmak için küçük bir eşya seçiyor.
kin.base.door.curse.obnoxious.discard,Size en büyük güç bonusunu veren bir item seçin.
kin.base.door.curse.obnoxious.discard.opponent,"Rakip, onlara en büyük güç bonusunu veren bir eşya seçiyor."
kin.base.door.supermunchkin.play,Süper Munchkin Oynayın
kin.base.door.halfbreed.play,Yarım cins oyna
kin.base.door.hippogriff.steal,Bir kart çal.
kin.base.door.hippogriff.steal.opponent,Oyuncuların kötü şeyler için seçimleri belirlemesini bekleniyor.
kin.base.door.curse.incometax.select,Bir itemi atın
kin.base.door.curse.incometax.tax,RTE Laneti: <br> Toplam [NUM] Altın Ederi Kartları Atın.
kin.base.door.curse.incometax.tax.opponent,Rakip RTE Laneti için atılacak eşyalar seçiyor.
kin.base.door.insurancesalesman.buy,Toplam 1000 altın ederinde item atın.
kin.base.door.insurancesalesman.buy.opponent,"Rakip, sigorta satıcısına atmak için kart seçiyor."
kin.base.door.divineintervention.jumpin.cleric,[name] ilahi müdahaleyi oynamadan önce din adamı olun?
kin.base.door.divineintervention.jumpin.cleric.opponent,Rakipler ilahi müdahale çözülmeden önce bir din adamı oynamayı düşünüyorlar.
kin.base.treasure.item.ratonastick.discard,Kaçmak için canavarı seçin.
kin.base.treasure.item.flaskofglue,Yeniden zar atmasını istediğiniz oyuncuyu seçin.
kin.base.treasure.hireling.monster,Otomatik olarak kaçmak için bir canavar seçin.
kin.base.treasure.play.halitosis,Floating Nose öldürün yada kaçmak için tek seferlik bir eşya kullanın.
kin.base.treasure.kneepadsofallure.compelled,[name] Sizi Allure Kneepads ile savaşta onlara yardımcı olmaya zorlar! Aşağıdaki ödülü sunuyorlar:
kin.base.lootthebody,[name] 'in ölüsünden yağmalamak için bir kart seçin.
kin.base.lootthebody.opponent,"Rakip, [name] 'in ölü gövdesinden yağmalamak için bir kart seçiyor."
kin.combat.askforhelp.players,Kimden yardım isteyeceğini seçin
kin.combat.askforhelp.bribe.type,Rüşvet Seçin
kin.askforhelp.choosehowtreasure,Hazineleri nasıl ödüllendireceğinizi seçin
kin.askforhelp.chooserandomtreasurecount,Kaç tane rastgele hazineyi vereceğinizi seçin
kin.askforhelp.choosewhopickstreasure,Canavarın Hazinesinin hangi sıra ile vereceğinizi seçin
kin.askforhelp.choosecardsoffer,Rakibinize Sunmak İçin Kartlar Seçin
kin.askforhelp.bribeoffer,"{0}, savaşta yardımcı olursanız bunları verecek. Kabul etmek ister misiniz?"
kin.askforhelp.sharetreasure,Hazine Paylaşın
kin.askforhelp.givecards,Kart ver
kin.askforhelp.none,Hiçbirşey
kin.askforhelp.random,Rastgele
kin.askforhelp.draft,Paylaşım Anı
kin.askforhelp.ntreasure,{0} rastgele hazine
kin.askforhelp.onetreasure,Bir Rastgele Hazine
kin.askforhelp.twotreasure,İki rastgele hazine
kin.askforhelp.threetreasure,Üç rastgele hazine
kin.askforhelp.pickn,{0} seç
kin.askforhelp.pickone,Bir tane seç
kin.askforhelp.picktwo,İki tane seç
kin.askforhelp.pickthree,Üç tane seç
kin.askforhelp.draft.you,Sen
kin.askforhelp.draft.them,Onlar
kin.core.sellitems,Level için satılacak ürünleri seçin.
kin.core.sellitems.opponent,Rakip Level için satılacak ürünleri seçiyor.
kin.nocards,Uygun kart yok
kin.pile.race,Irk
kin.pile.class,Sınıf
kin.pile.carried,Taşınan
kin.pile.equipped,Üzerinde
kin.pile.useonparticipant,Munchkin'de kullanın
kin.pile.useonmonster,Canavarda Kullan
kin.pile.enhancemonster,Canavarı Geliştirin
kin.runaway.activateability.preroll,Zar atılmadan önce kaçma yetenekleri etkinleştirilsin mi?
kin.runaway.activateability.postroll,Herhangi bir kaçış yeteneğini etkinleştirin mi?
kin.core.play.item.swap,Değiştirmek için itemleri seçin.
kin.core.play.class.replace,Değiştirmek bir sınıf seçin.
kin.core.play.race.replace,Değiştirmek için bir Irk seçin.
kin.core.play.magiclamp,Yok etmek için bir canavar seçin.
kin.core.play.wishingring,Yüzük ile kaldıralacak bir lanet seçin.
kin.prompts.activatecurseonplayer,Lanetlenecek bir oyuncu seçin.
kin.confirm.discard.class,Sınıfınızı Atın?
kin.confirm.discard.race,Irkınızı Atın?
kin.die.preroll,Zar atmadan önce herhangi bir ölüm yeteneğiniz etkinleştirin mi?
kin.die.header,Ölüm için zar atın
kin.die.postroll,Herhangi bir ölüm zarı yeteneğini etkinleştirin mi?
kin.choosebadstuff.discard,Elinden çıkart
kin.choosebadstuff.losetwolevels,İki Level kaybedersin
kin.waitingforplayer.selectavatar,Yerinizi güvence altına almak için aşağıdaki birleştir düğmesine basın.
kin.core.play.wandofdousing.pickcard,Dowsing asa ile ıskartaya almak için bir kart seçin.
kin.base.door.cheat.item,Hile ile oynamak için bir item seçin!
kin.jumpin.door.active,Kapıyı açmadan önce bir şeyler yapmak ister misin?
kin.jumpin.attack.active,Canavarları yenmeden önce bir şeyler yapmak ister misin?
kin.jumpin.beginpursuit.active,Takip etmeye başlamadan önce  bir şeyler yapmak ister misin?
kin.jumpin.runaway.active,Kaçmak için zar atmadan önce  bir şeyler yapmak ister misin?
kin.jumpin.postrunaway.active,Kaçma zarından sonra bir şeyler yapmak ister misin?
kin.jumpin.postrunaway.opponent,Rakip eylemlerini düşünüyor.
kin.jumpin.postcombat.active,Çatışma tamamlandığına göre şimdi bir şeyler yapmak ister misin?
kin.jumpin.precurse.active,Lanet çözülmeden önce bir bir şeyler yapmak ister misin?
kin.core.play.undead,Savaşa ölümsüz ekle
kin.prompt.askforhelp.draft.header,Select Draft Order
kin.askforhelp.draft.yourpick,Senin seçimin
kin.askforhelp.draft.opponentpick,Rakip Seçimi
kin.core.play.monsterenhancer.selectmonster,Güçlendirmek için bir canavar seçin
kin.prompt.swapitem.message,Yeni itemi takas etmek ister misiniz?
kin.base.door.leperchaun.discard,Leprechaun'a atmak için bir düşman eşyası seçin.
kin.base.door.leperchaun.discard.opponent,Oyuncuların kötü şeyler için seçimleri belirlemesini bekleniyor.
kin.runaway.choose.monster,Hangi canavardan kaçacağını seçin.
kin.runaway.choose.monster.opponent,Rakip ilk önce hangi canavardan kaçacağını seçiyor.
kin.setup.character.raceclass,İlk Irk ve/veya sınıf mı seçin?
kin.setup.character.raceclass.opponent,Rakiplerin karakterlerini yaratmayı bitirmesini bekleniyor.
kin.setup.character.item,İlk üzerindeki itemler seçilsin mi?
kin.setup.character.item.opponent,Rakiplerin karakterlerini yaratmayı bitirmesini bekleniyor.
kin.core.play.pollymorph,Bir papağan haline getireceğin bir canavarı seçin.
kin.core.play.killhireling,Öldürmek için Hireling'i seçin
kin.combat.askforhelp.player.helper,Yardım almak için bir oyuncu seçin
kin.combat.askforhelp.player.helper.opponent,Rakip yardım almak için bir oyuncu seçiyor.
kin.combat.askforhelp.response,[name] yardım istiyor
kin.combat.askforhelp.response.subheader,Bu savaşı kazanmasına yardımcı olmak için aşağıdaki ödülleri alacaksınız.
kin.bribes.none,Hiçbir şey
kin.askforhelp.receivecards,Bu kartlar
kin.thief.roll,Hırsızlık için zar at
kin.discardpile.treasure.header,Hazine Iskartası
kin.discardpile.door.header,Kapı ıskartası
kin.discardpile.choose.header,Deste seçin
kin.combat.rewards.pre.draw,Hazineleri çekmeden önce herhangi bir yetenek kullanacak mısınız ?
kin.modifyroll.subheader,Bir numara seçin
kin.discardpile.view.header,Iskartaları at
kin.badstuff.roll,Kötü şey zarı
dialogmessages.aitakeover,"Hareket etmek için zamanınız bitti, böylece yerinize bir AI geçti. Bir sonraki hamlenizi izin verilen zaman içinde yapın yoksa oyundan atılacaksınız."
kin.base.door.hireling.item,Hireling'in taşıması için bir item seçin
kin.base.door.hireling.item.swap,Hireling' ile takas etmek için bir item seçin
kin.jumpin.postroll,[name] öldükten sonra zar atmak ister misin?
kin.modifyroll.header,Numarayı ayarla
kin.askforhelp.draftrequest,Hazine {0} seçin
kin.combat.askforhelp.waiting,Yanıt Bekleniyor
prompt.charity.header,Bağış
kin.modifyroll.minimumrequired,{0} veya kaçmak için daha fazlası gerekli
kin.reconcile.lastchance,Çok fazla büyük iteminiz var. Onları sat ya da rakiplere vermeye devam edin.
kin.reconcile.lastchance.sell,İtemleri vermeden önce satılacak itemleri seçin.
kin.reconcile.charity.discard,Çok fazla büyük item var.Fazlalıkları atmak için [X] dışında [X] seçin.
kin.reconcile.charity.discard.opponent,Rakip fazla olan itemleri attığı için bekliyorsunuz
kin.reconcile.charity.give,[name] 'e vermek için büyük eşyaları seçin.
kin.reconcile.charity.give.opponent,Rakip büyük item vermek için item seçiyor.
kin.reconcile.charity.giveplayer,Büyük bir item vermek için rakibi seçin.
kin.resurrection.header,Din adamı- Diriliş
kin.core.play.race.replace.alt,Bu ırkı oynamak mevcut ırkınızı atacaktır. Devam etmek istediğine emin misin?
kin.core.play.class.replace.alt,Bu sınıfı oynamak mevcut sınıfınızı atacaktır. Devam etmek istediğine emin misin?
kin.jumpin.precurse.opponent,Rakip bir lanete cevap vermeyi seçiyor.
kin.jumpin.abilities.opponent,Rakip bir hamle yapıyor
kin.playerturn.charity.discard.opponent,"Rakip, yardımiçin atmak için kart seçiyor."
kin.playerturn.lookorloot.opponent,Rakip odayı yağmalamayı veya canavarla savaşmayı seçiyor.
kin.base.door.cleric.resurrection.discard.opponent,"Rakip, dirilmek için bir kart seçiyor."
kin.combat.rewards.pre.draw.opponent,"Rakip, hazineleri çekmeden önce bir eylem seçiyor."
kin.draw.play.opponent,"Rakip, sadece çektikleri kartı oynamak isteyip istemediklerini düşünüyor."
kin.prompt.swapclass.message,Yeni sınıfa takas etmek ister misiniz?
kin.prompt.swaprace.message,Yeni ırka takas etmek ister misiniz?
kin.core.play.stealalevel,Bir Level çalmak için oyuncuyu seçin
kin.thief.roll.loadeddie,4 veya daha fazla itemi çalmak için gereklidir.
kin.combat.askforhelp.response.opponent,"Rakip, bir Yardım İsteme talebini değerlendiriyor"
kin.trade.item.accept.opponent,Rakip bir takas teklifini düşünüyor
kin.jumpin.confirm.opponent,Rakip savaşa katılıyor
kin.jumpin.stack.opponent,Rakip savaşa katılıyor
kin.jumpin.opponent,Rakip savaşa katılıp katılmayacağına karar veriyor.
kin.jumpin.door.opponent,"Rakip, savaşa katıldıktan sonra hangi eylem yapacağına karar veriyor"
kin.jumpin.attack.opponent,"Rakip, canavar (lar) ın yenilmeden önce hangi eylemin yapılacağına karar veriyor."
kin.jumpin.beginpursuit.opponent,"Rakip, canavar arayışa başlamadan önce hangi eylemin yapılacağına karar veriyor."
kin.jumpin.runaway.opponent,"Rakip, kaçıştan önce hangi eylemin yapılacağına karar veriyor."
kin.jumpin.postcombat.opponent,"Rakip, savaş tamamlandıktan sonra hangi eylemin yapılacağına karar veriyor."
kin.base.door.curse.incometax.select.opponent,Rakip RTE laneti için atılacak eşyalar seçiyor.
kin.playerturn.draw.opponent,Bir rakip kapıyı açmadan önce eylemleri düşünüyor.
kin.combat.rewards.draft.pick.opponent,Rakip bir hazine kartı hazırlıyor.
kin.base.door.nettroll.steal.opponent,Oyuncuların kötü şeyler için seçimleri belirlemesini bekleniyor.
kin.player.changegear.opponent,Rakibin itemlarını düzenlemesini bekleniyor.
kin.playerturn.charity.lastchance.opponent,Rakibin bağışlayacağı itemlara karar vermesini bekleniyor.
kin.playerturn.charity.give.opponent,Rakibin kime yardım edeceğine karar vermesini bekle
kin.playerturn.charity.giveplayer.opponent,Rakibin kime yardım edeceğine karar vermesini bekle
kin.jumpin.postroll.opponent,Ruloyu çözmeden önce rakibin harekete geçmesini bekleniyor
kin.reconcile.lastchance.opponent,Rakibin bazılarını atmak için çok fazla büyük eşya taşımasını bekleniyor.
kin.reconcile.charity.giveplayer.opponent,Rakibin biraz vermek için çok fazla büyük eşya taşımasını bekleniyor.
kin.base.door.snailsonspeed.discard.opponent,Oyuncuların kötü şeyler için seçimleri belirlemesini bekleniyor.
kin.base.door.platycore.choose.opponent,Oyuncuların kötü şeyler için seçimleri belirlemesini bekleniyor.
kin.combat.askforhelp.bribe.selections.opponent,Rakip yardım istiyor.
kin.combat.askforhelp.players.opponent,Rakip yardım istiyor.
kin.combat.askforhelp.bribe.type.opponent,Rakip yardım istiyor.
kin.runawaysuccess.ability,Başarılı bir kaçıştan sonra herhangi bir yetenekleri etkinleştirin mi?
kin.runaway.badstuff,Başarısız bir kaçıştan sonra herhangi bir yetenekleri etkinleştirin mi?
kin.runawaysuccess.ability.opponent,"Rakip, başarılı bir kaçıştan yetenek kullanıyor."
kin.runaway.badstuff.opponent,"Rakip, başarısız bir kaçıştan yetenek kullanıyor."
kin.runaway.rolltarget,Kaçmak için minimum zar: [X]
kin.base.door.nettroll.steal,Çalmak için bir item seçin.
kin.tooltip.1,kin.tooltip.1
kin.tooltip.gender.male,Erkek
kin.tooltip.gender.female,Dişi
kin.tooltip.editcharacter,Karakteri Düzenle
kin.tooltip.genderneutral,<b> Cinsiyet Nötr </b> <br> Cinsiyeti önemseyen kartlar oyundan çıkarılır.
kin.tooltip.fastplay,"<b> Hızlı Oyun </b> <br> Daha hızlı bir oyun oynamak isteyen oyuncular için. Oyuncular odayı yağmaladıklarında, kapı güvertesi yerine hazine güvertesinden çekilirler."
kin.tooltip.sharedvictory,Paylaşılan Zafer
kin.tooltip.playerhud.strength,Kuvvet
kin.tooltip.race.human,<b> İnsan: </b> <br> Özel yetenek yok
kin.tooltip.race.dwarf,<b> Cüce: </b> <br> Herhangi bir sayıda büyük ürün taşıyabilirsiniz. <br> Elinizde altı kart olabilir.
kin.tooltip.race.elf,<b> Elf: </b> <br> +1 kaçma zarı.
kin.tooltip.race.halfling,<b> Hobbit: </b>
"You may sell one Item each turn for double price (other Items are at normal price).<br>If you fail your initial Run Away roll, you may discard a card and try once more.",
kin.tooltip.class.none,Sınıfsız
kin.tooltip.class.cleric,"<b> Din Adamı: </b> <br> <b> Diriliş: </b> Kartları yüzü çekmenin zamanı geldiğinde, bunun yerine uygun <i> 'nın bir kısmını veya tamamını alabilirsiniz. Kazıkları atın. <br> Daha sonra çizilmiş her kart için elinizden bir kart atmalısınız. . Her atma size +3 bonus verir."
kin.tooltip.class.thief,"<b> Hırsız: </b> <br> <b> Backstabbing: </b> Başka bir oyuncuyu geri almak için bir kart atabilirsiniz (savaşta -2). Bunu savaş başına mağdur başına sadece bir kez yapabilirsiniz, ancak iki oyuncu birlikte bir canavarla savaşıyorsa, her birini destekleyebilirsiniz. Başka bir oyuncu tarafından taşınan küçük ürün. Bir kalıp; 4 veya daha fazla başarılı. Aksi takdirde, vurulur ve bir Level kaybedersiniz."
kin.tooltip.class.warrior,<b> Savaşçı: </b> <br> <b> Berserking: </b> Savaşta üç kart atabilirsiniz; Her biri size +1 bonus verir. <br> Savaşta bağlar kazanırsınız.
kin.tooltip.class.wizard,"<b> büyücü: </b> <br> <b> Uçuş Büyüsü: </b> Kaçmak için kalıp yuvarladıktan sonra üç kartı atabilirsiniz; Her biri size kaçmak için +1 bonus verir. Canavarı atın ve hazinesini alın, ancak Level kazanmayın. Savaşta başka canavarlar varsa, normal olarak onlarla savaşın."
kin.tooltip.slowplay,Yavaş oyun
kin.tooltip.inventory,Envanteri görüntüle
kin.tooltip.askforhelp,Yardım isteyin
kin.tooltip.monsterstrength,Canavar Gücü
kin.tooltip.playerstrength,Oyuncu Gücü
kin.tooltip.loottheroom,Kapıdan bir kapalı kart çek.
kin.tooltip.lookfortrouble,Savaş için elinden bir kart çek.
kin.tooltip.aimood.neutral,Tarafsız
kin.tooltip.aimood.hostile,Düşmanca!
kin.tooltip.aimood.veryhostile,Çok düşmanca !!
kin.tooltip.aimood.friendly,Arkadaş canlısı
kin.tooltip.aimood.veryfriendly,Babacan
kin.tooltip.ability.halfling,"<b> Halfling: </b> <br> İlk koşu rulosunda başarısız olursanız, bir kart atabilir ve bir kez daha deneyebilirsiniz."
kin.tooltip.ability.resurrection,"<b> Diriş: </b> <br> Kart çizmenin zamanı geldiğinde, bunun yerine uygun <i> atma </i> ıskartanın tepesinden bir veya tamamını alabilirsiniz. <Br. > Daha sonra çizilmiş her kart için elinizden bir kart atmalısınız."
kin.tooltip.ability.turning,<b> Turning: </b> <br> Ölümsüz bir yaratığa karşı savaşta en fazla üç kartı atabilirsiniz. Her atılan kart size +3 bonus verir.
kin.tooltip.ability.backstabbing,"<b> backstabbing: </b> <br> Başka bir oyuncuyu geri almak için bir kart atabilirsiniz (savaşta -2). Bunu savaş başına kurban başına sadece bir kez yapabilirsiniz, ancak iki oyuncu birlikte bir canavarla savaşıyorsa, her birini destekleyebilirsiniz."
kin.tooltip.ability.theft,"<b> Hırsızlık: </b> <br> Başka bir oyuncu tarafından taşınan küçük bir eşyayı çalmaya çalışmak için bir kart atabilirsiniz. Bir kalıp; 4 veya daha fazla başarılı. Aksi takdirde, vurulur ve bir Level kaybedersiniz."
kin.tooltip.ability.berserking,<b> Berserking: </b> <br> Savaşta en fazla üç kartı atabilirsiniz; Her biri size +1 bonus verir.
kin.tooltip.ability.flight,<b> Uçuş Büyüsü: </b> <br> Kaçmak için kalıptan geçtikten sonra üç karta atabilirsiniz; Her biri size kaçmanız için +1 bonus verir.
kin.tooltip.ability.charm,"<b> Cazibe Büyüsü: </b> <br> Tüm elinizi (minimum üç kart), onunla savaşmak yerine tek bir canavarı cazip hale getirmek için atabilirsiniz. Canavarı atın ve hazinesini alın, ancak Level kazanmayın. Savaşta başka canavarlar varsa, normal olarak onlarla savaşın."
kin.tooltip.cardsinhand,Eldeki Kartlar
tooltip.actionlog,<b> Eylem Günlüğü </b>
tooltip.challengeinfo,<b> meydan okuma kuralları </b>
kin.tooltip.eotjumpinwindow,Her oyuncu dönüşünün sonunda ek bir atlama penceresi ekleyin.
kin.tooltip.discardpiles,Kazıkların üst kartı görüntüleyin
tooltip.friendslist.owned,Munchkin'in sahibi
tooltip.friendslist.unowned,Munchkin sahibi değil
kin.tooltip.ability.hireling1,"Aksi halde taşıyamasanız ve kullanabileceğiniz bir item seçin. Eğer koşmanızı kaybederseniz, item de gider."
kin.tooltip.ability.hireling2,Herhangi bir canavardan otomatik bir kaçış için işe alımınızı atın.
kin.tooltip.heldbyhireling,Hireling tarafından tutuldu
kin.tooltip.playedusingcheat,Hile kullanarak oynadı!
log.actionlog,Hareket günlüğü
log.start.game,Oyun başlıyor
log.turn.start,[name] 'in sırası
log.turn.start.your,Senin sıran
log.kick.door.result,"[isim] Kapıyı Açıyor, [kart] ortaya çıkıyor."
log.look.for.trouble,[name] Bela Arıyor..
log.loot.room,[name] Odayı yağmalayın.
log.cursed.door,[name] [card] tarafından lanetlenir.
log.combat.start,[name] [card] ile savaşa girer.
log.ask.help,[name] yardım için [playerlist] sorar.
log.accept.help,[name] savaşta [name2] katılır.
log.win.combat,[name] [cardlist] 'i yendi.
log.win.combat.with.help,[name] ve [name2] [cardlist] 'i yendi.
log.lose.combat,[name] savaşlarını kaybetti ve kaçmalı.
log.lose.combat.with.help,[name] ve [name2] savaşlarını kaybetti ve kaçmalılar.
log.discard.monster,[name] [card] savaştan çıkarır.
log.play.card.generic,[name] [card] oynar.
log.monster.enhancer.bonus.strength,[name] [card2] 'e [card] oynar ve [X] güç verir.
log.monster.enhancer.add.treasure,[card] [card2] 'nin [X] ödüllerini artırır.
log.monster.enhancer.lose.treasure,[card] [card2] 'nin ödüllerini [X] azaltır.
log.play.card.carried,[name] [card] çantasına koyar.
log.play.card.equipped,[name] [card] üzerine giyer.
log.levelup,[name] level'a çıkar [X2].
log.lose.levels,"[isim] [X] level kaybeder, Level [X2] haline gelir."
log.draw,[name] [X] [deck] kartları çeker.
log.face.up.draw,[name] [cardlist] çeker.
log.draw.doors,[name] [X] kapı kartları çeker.
log.draw.treasures,[name] [X] hazine kartları çeker.
log.shuffle.deck,[deck] 'nin atma yığını yeni bir deste oluşturmak için yeniden düzenlenir.
log.die.roll,[name]   bir zar atar [X] .
log.run.away.success,[name] kaçar [card].
log.run.away.fail,[name] [card] kaçamıyor ve kötü şeyler yaşıyor.
log.charity.give,[name] şu kartları bağışlar [name2] [X] [deck] kartları verir.
log.trade.items,[name] [name2] 'nin [CardList2] için [cardlist] ile  takas eder.
log.sell.items,[name] [cardlist] satıyor.
log.badstuff.death.1,[isim] ölür.
log.badstuff.death.2,[name2] 'nin üzerinde[card] [card].
log.badstuff.death.3,[name] Kalan kartlarını atar.
log.badstuff.hippogriff.infront,[name] [kartı] [name2] 'den alır.
log.badstuff.hippogriff.fromhand,[name] [name2] 'nin elinden bir hazine kartı alır.
log.badstuff.king.tut,[name] tüm eşyalarını kaybeder ve elindeki kartları atar.
log.badstuff.wight.brothers,[name] Level 1'e düşer.
log.badstuff.unspeakable.horror,"[name] Büyücü güçlerini kaybeder, büyücü kartlarını atar."
log.badstuff.insurance.salesman,[name] Atar [cardlist].
log.badstuff.bigfoot,"[name] Başlığını kaybeder, [card]."
log.tongue.demon.kiss,[name] [card] atar.
log.wannabe.vampire.oogabooga,"[name] Ooga Booga'yı bağırıyor, özenti vampirine atıyor."
log.badstuff.net.troll,[name] en yüksek Leveldir ve [name2] 'den [card] alır.
log.amazon.friend,Amazon [isim] ile savaşmayı reddediyor.
log.badstuff.amazon.class,"[name] Sınıflarını kaybeder, [cardlist]."
log.badstuff.amazon.noclass,"[name] sınıfı yoktu, bu yüzden 3 Level kaybediyor."
log.badstuff.ghoulfiends,[isim] Level alır[X].
log.badstuff.face.sucker.gear,[name] Başlıklarını [card] ve 1 Level düşer.
log.lawyer.thief.courtesy,[name] 2 hazineyi ve Lawyer's atar.
log.badstuff.lawyer,[name] [name2] 'nin elinden bir [deck] kartı çeker.
log.badstuff.platycore.discard,[name] Ellerini Platycore'un kötü şeylerine atmayı seçti.
log.badstuff.platycore.lose2,[name] Platycore'un kötü eşyalarına 2 Level kaybetmeyi seçti.
log.badstuff.pukachu,[name] Ellerini atar.
log.badstuff.shrieking.geek,[name] Irklarını kaybeder [cardlist] ve sınıf [cardlist2].
log.badstuff.leperchaun,[name] [name2] atması için [card] seçer.
log.badstuff.snails.on.speed,[name] [X] itemleri veya kartları ellerinden atar.
log.badstuff.gelatinous.octahedron,[name] Tüm büyük eşyalarını atar: [cardlist].
log.pit.bull.give.stick,[name] Pit Bull'dan kaçmak için [card] atar.
log.badstuff.crabs,[name] Atılır [cardlist].
log.badstuff.drooling.slime.gear,[name] Ayakkabılarını atar.
log.badstuff.drooling.slime.nogear,"[name] ayakkabı yoktu, bu yüzden 1 Level kaybediyor."
log.curse.effect.change.class,[name] [card] tarafından lanetlendi.
log.curse.effect.lose class,[name] [cardlist] tarafından lanetlenerek sınıfını kaybetti.
log.curse.effect.change.race,[name] [card] tarafından lanetlendi.
log.curse.effect.lose.race,[name] [cardlist] tarafından lanetlenerek ırkını kaybetti.
log.curse.effect.change.sex,[name] [sex] yüzünden lanetlendi ve bir sonraki savaşında -5 güç kaybedecektir.
log.curse.effect.chicken.head,[name] kafasında bir tavuk var ve kaçış zarlarında -1 ceza alacak.
